指标,工业污染治理完成投资(万元),治理废水项目完成投资(万元),治理废气项目完成投资(万元),治理固体废物项目完成投资(万元),治理噪声项目完成投资(万元),治理其他项目完成投资(万元),废水排放总量(万吨),化学需氧量排放量(万吨),氨氮排放量(万吨),二氧化硫排放量(吨),原油产量(万吨),天然气产量(亿立方米),原盐产量(万吨),成品糖产量(万吨),啤酒产量(万千升、万吨),卷烟产量(亿支、万箱),纱产量(万吨),布产量(亿米),机制纸及纸板产量(万吨),焦炭产量(万吨),硫酸(折100%)产量(万吨),烧碱(折100%)产量(万吨),纯碱(碳酸钠)产量(万吨),农用氮、磷、钾化肥产量(万吨),化学农药原药产量(万吨),初级形态的塑料产量(万吨),化学纤维产量(万吨),水泥产量(万吨),平板玻璃产量(万重量箱),生铁产量(万吨),粗钢产量(万吨),钢材产量(万吨),汽车产量(万辆),发电量(亿千瓦小时),水电发电量(亿千瓦小时),焦炭生产量(万吨),原油生产量(万吨),汽油生产量(万吨),煤油生产量(万吨),柴油生产量(万吨),燃料油生产量(万吨),天然气生产量(亿立方米),发电量(亿千瓦小时),水力发电量(亿千瓦小时),火力发电量(亿千瓦小时),煤炭消费量(万吨),焦炭消费量(万吨),原油消费量(万吨),汽油消费量(万吨),煤油消费量(万吨),柴油消费量(万吨),燃料油消费量(万吨),天然气消费量(亿立方米),电力消费量(亿千瓦小时),年末常住人口(万人),aqi,car
2015年,541596,7127,411968,1880,24,120597,310567.56,120.81,9.73,1108370.93,580.1,10.43,328.01,7,181.7,848.5,,78.38,345.7,5480.62,142.9,119.1,347.8,215.8,7.5,136.5,60.7,9126.17,14615.36,17382.3,18832,25244.3,112.9,2497.85,9.98,5481,580.1,432.83,44.15,497.79,123.01,10.43,2498,9.98,2271.73,28943.13,7726.45,1666.82,475.32,8.24,749.18,51.73,72.97,3175.66,7425,180,1075.03
2014年,889518,59925,779803,2324,36,47430,309823.96,126.85,10.27,1189902.56,592.33,17.5,334.92,5.8,166.02,863.5,,66.09,458.2,5613.84,169.04,120.72,246.19,203.09,7.1,111.97,57.82,10721.46,15844.52,16941.95,18530.3,23995.2,97.8,2499.9,10.97,5614,592.33,322.21,13.5,394.36,132.27,17.5,2499.9,10.97,2292.92,29635.54,8127.2,1356.61,314.64,17.59,788.8,31.97,56.08,3314.11,7384,171,930.08
2013年,511769,59637,440113,513,130,11376,310920.54,130.99,10.71,1284697.46,591.01,15.58,302.4,9.5,156.6,847.5,198.19,72.45,485.9,6395.82,161.22,101.62,257.1,218.43,2.7,79.6,52.2,12747.38,11836.4,17027.6,18849.6,22861.6,97.4,2499.37,10.94,6382,591.01,304.68,13.72,438.5,109.49,15.58,2507.28,10.93,2334.06,31663.27,8339.85,1385.89,347.55,17.59,800.57,35.18,49.86,3251.2,7333,384,816.29
2012年,236290,52178,181167,86,,2858,305773.5,134.91,11.07,1341201.15,584,13.4,354.9,2.88,157.51,827.5,188.07,71.05,511.56,6700.52,141.32,88.84,260.07,184.76,3.44,79.79,35.88,13131.84,14898.03,16358.54,18048.4,21026.1,82.5,2411.24,4.7,6677.74,584.02,293.61,0.32,547.02,24.95,13.36,2370.9,3.27,2193.17,31359,8402.28,1547.61,318.33,7.79,821.36,24.53,45.13,3077.7,7288,74,728.51
2011年,243399,70721,156828,7766,595,7490,278551.26,138.88,11.43,1412128.73,586.1,12.2,377.7,4.99,160.34,807.5,147.6,63.18,534.2,6290.45,84.42,82.5,254.1,222.86,3.09,83.17,22.3,14533.91,16941.62,15450.38,16450.7,19256.23,72.11,2326.98,7.25,6290,586.1,292.81,0,538.27,17.39,12.2,2326.98,7.25,2214.67,30792,8399.88,1564.68,305.74,8.94,796.12,47.29,35.09,2984.9,7241,76,607.19
2010年,108588,24678,82054,2,993,862,262543,54.6,5.46,1233780,599,12.7,418.97,2.75,134.68,775,123.62,61.69,412.58,5045.7,71.88,78.85,230.4,173.42,3.77,72.46,23.42,12790.21,12368.5,13710.11,14458.79,16782.88,71.04,1993.12,5.55,5045.7,599,270.01,4.31,486.93,116.94,12.7,1993.12,5.55,1926.28,27464.72,7319,1396.65,238.75,7.34,691.94,38.53,29.47,2691.52,7194,75,492.88
2009年,132272,35817,91106,,1399,3950,244988.51,57,5.51,1253463.29,599.09,10.87,393.76,3.66,111.59,742.5,105.09,45.38,375.95,4800.33,58.86,71.23,199.45,214.35,3.39,68.47,23.55,10684.55,10964.52,13321.78,13536.27,15158.01,51.43,1742.46,5.71,4800.33,599.09,275.24,7.05,482.34,34.57,10.87,1742.46,5.71,1707.18,26515.81,6208.83,1379.12,212.06,6.25,521.67,59.76,23.11,2343.85,7034,77,395.8
2008年,205675,97076,97174,334,512,10579,234697,60.5,5.58,1345000,643.1,8.74,362.58,4.65,132.45,710,95.67,35.81,378.74,3923.5,78.13,67.92,221,211.28,3.18,63.78,23.58,8953,8676.13,11355.66,11589.42,11571.79,32.15,1599.48,5.78,3878.94,643.1,272.49,12.21,513.58,166.51,8.74,1527.75,10.95,1407.6,24418.62,6007.69,1357.63,211.11,7.37,531.73,65.82,17.17,2095.02,6989,84,316.77
2007年,215485,60761,129939,2539,1488,20757,222914.35,66.7,6.05,1492479.99,660.01,7.14,396.51,7.01,148.08,685,92.96,35.96,474.91,3938.86,95.06,78.5,205.01,218.76,3.56,71.75,27.34,9758.28,10031.76,10523.01,10569.29,10313.65,32.3,1646.24,5.68,3820.89,660.01,230.15,11.14,425.82,64.85,7.14,1646.24,5.68,1633.04,24548.51,5127.33,1124.77,249.04,6.22,532.74,48.31,12.05,2013.67,6943,89,273.25
2006年,190689,38501,137800,303,3108,10979,213672,68.8,6.78,1545000,610.81,6.55,428.56,6.41,141.9,620,85.93,39.57,389.58,3312.2,97.49,73.03,187.64,212.45,3.62,67.16,26.03,8625,8990,8279.8,9096.29,8521.33,26.84,1461,14.42,3312.2,610.81,212.85,13.15,412.08,28.56,6.55,1461,14.42,1438.88,21345.42,5460.55,1046.69,263.78,5.88,484.39,54.33,2.81,1734.83,6898,98,229.34
