GDP,Agricultural GDP,Industrial GDP,Counstruction GDP,Communication and Transportation GDP,GDP per capita,Government investment of waste gas treatment,Coal consumption,Coke consumption,Crude oil consumption,Gasoline consumption,Kerosene consumption,Diesel consumption,Fuel oil consumption,Netural gas consumption,Electricity consumption,Number of cars,Population,aqi
23014.59,142.6,3710.88,961.86,983.87,106497,66834,1165.18,0.44,991.54,462.75,544.38,182.35,4.91,146.88,952.72,533.81,2171,152
21330.83,161.32,3746.77,902.66,948.1,99995,62281,1736.54,0.64,1034.62,440.62,507.58,196.46,5.63,113.7,937.05,530.83,2152,134
19800.81,161.83,3566.43,831.55,871.76,94648,31732,2019.23,0.79,870.92,423.61,477.06,193.9,8.3,98.81,913.1,517.11,2115,126
17879.4,150.2,3294.32,764.95,816.31,87475,24652,2270,32.27,1075.77,415.9,443.33,215.82,78.16,92.07,874.3,493.56,2069,79
16251.93,136.27,3048.79,703.69,808.95,81658,4515,2366,33.28,1105.08,389.79,419.88,241.12,74.64,73.56,821.71,470.53,2019,81
14113.58,124.36,2763.99,624.39,712.01,73856,17264,2634.62,220.45,1116.29,371.53,392.63,237.42,66.69,74.79,809.9,449.72,1962,86
12153.03,118.29,2303.08,552.47,556.64,66940,25718,2664.7,211.97,1162.93,363.61,341.93,240.18,42.4,69.4,739.15,368.11,1860,85
11115,112.83,2131.75,494.66,498.92,64491,62998,2747.73,232.87,1116.76,340.92,318.39,227.22,25.62,60.65,689.72,313.68,1771,88
9846.81,101.26,2082.76,426.64,497.55,60096,33946,2984.67,358.19,950.91,324.72,277.1,192.02,42.85,46.64,667.01,273.36,1676,100
8117.78,88.8,1821.86,369.57,455.21,49505,89534,3055.67,348.62,796.12,278.16,233.86,177.49,48.05,40.65,611.57,239.12,1601,110
6969.52,88.68,1707.04,319.47,403.32,45444,91383,3068.97,397.4,799.6,235.23,189.36,140.86,65.88,32.04,570.54,209.73,1538,99
6033.21,87.36,1554.73,298.85,,41099,,2939.41,455.73,809.35,198.39,182.82,131.93,66.96,27.02,510.11,182.42,1493,104
5007.21,84.11,1224.48,262.67,,34892,,2674.02,438.25,726.68,165.22,137.94,110.41,66.1,21.19,461.24,163.07,1456,98
4315,82.44,1021.16,228.83,,30840,,2531,378,748,152,145,109,71,21,439.96,133.93,1423,112
3707.96,80.78,938.81,203.54,,26998,,2675,429.62,700.5,138.69,129.25,103.52,78.39,16.74,399.94,114.47,1385,113
3161.66,79.25,844.01,189.28,,24122,29594,2719.78,449.08,754.71,106.6,117.6,81.17,89.62,10.9,384.43,104.12,1364,101
29806.11,3578.7,12626.17,1780.49,2359.09,40255,411968,28943.13,7726.45,1666.82,475.32,8.24,749.18,51.73,72.97,3175.66,1075.03,7425,180
