Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,146.88,113.70,98.81,92.07,73.56,74.79,69.40,60.65,46.64,40.65,32.04,27.02,21.19,21.00,16.74,10.90
Tianjin,63.98,45.49,37.79,32.58,26.02,22.93,18.12,16.84,14.27,11.22,9.04,8.55,7.26,6.48,7.89,5.40
Hebei,72.97,56.08,49.86,45.13,35.09,29.47,23.11,17.17,12.05,2.81,9.14,9.73,8.28,7.74,6.97,7.72
Shanxi,64.92,50.35,45.08,37.39,31.93,28.93,13.76,6.60,6.91,6.02,3.24,2.96,2.50,1.92,1.58,1.14
Neimenggu,39.15,44.53,43.51,37.84,40.84,45.30,44.29,30.53,26.51,14.38,6.35,4.42,2.04,0.22,0.14,0.01
Liaoning,55.35,84.00,78.68,63.72,39.07,19.02,16.44,16.21,14.24,13.10,14.81,15.81,18.82,18.81,18.93,20.15
Jilin,21.34,22.58,24.05,22.79,19.38,22.01,16.66,13.83,6.47,6.00,6.18,4.00,3.08,3.02,3.02,2.98
Heilongjiang,35.82,35.48,34.77,33.68,31.00,29.90,30.00,31.47,30.70,24.53,24.43,20.34,20.96,20.22,22.03,23.04
Shanghai,77.41,72.43,72.89,64.38,55.43,45.01,33.52,30.00,27.78,25.25,18.72,10.69,4.97,4.33,3.30,2.54
Jiangsu,165.02,127.70,124.47,113.14,93.74,71.57,63.43,63.13,44.58,31.30,13.62,3.14,0.62,1.01,0.23,0.24
Zhejiang,80.35,78.16,56.72,48.08,43.88,31.81,19.30,17.70,18.09,11.89,2.25,0.32,,,,
Anhui,34.83,34.46,27.81,24.90,20.14,12.48,9.77,7.17,4.03,1.95,0.85,0.15,,,,
Fujian,45.38,50.26,49.39,37.49,37.89,29.10,8.49,1.53,0.48,0.57,0.51,0.60,,,,
Jiangxi,18.02,15.19,13.43,10.04,6.34,3.85,2.58,2.50,1.04,0.68,0.11,0.00,0.00,,,
Shandong,82.32,74.96,68.80,67.23,52.86,47.01,40.24,34.50,23.33,22.59,17.89,11.71,9.61,4.63,4.93,4.53
Henan,78.77,76.87,79.77,73.92,54.96,47.15,41.50,38.23,33.14,30.53,23.71,20.29,16.77,14.63,13.11,11.23
Hubei,40.26,40.24,31.97,29.28,24.92,19.56,16.52,15.60,8.63,6.64,6.11,0.94,0.94,0.91,0.76,0.91
Hunan,26.51,24.40,20.46,18.79,15.34,11.25,10.23,8.23,5.84,4.25,1.00,0.06,,,,
Guangdong,145.16,133.83,124.05,116.48,114.46,61.56,112.86,53.58,45.69,14.46,2.49,1.62,1.26,,,1.43
Guangxi,8.37,8.25,4.55,3.18,2.53,1.70,1.21,1.01,1.34,1.22,1.12,0.02,,,,
Hainan,46.00,46.00,46.02,47.49,48.86,29.72,24.94,26.78,23.40,23.97,20.97,23.89,24.08,,6.56,5.28
Chongqing,88.37,82.15,72.19,70.98,61.80,56.42,49.47,48.75,43.53,40.05,35.50,30.34,28.75,27.33,26.56,33.26
Sichuan,170.98,165.17,148.30,153.00,156.08,175.26,126.99,108.94,112.15,106.08,89.52,80.64,74.68,69.96,63.07,58.67
Guizhou,13.32,10.62,8.42,5.26,4.76,4.14,4.18,4.74,5.14,4.95,5.44,4.99,5.45,5.48,6.00,5.72
Yunnan,6.34,4.63,4.27,4.30,4.20,3.64,4.52,5.28,5.49,5.45,6.12,5.76,5.60,5.14,5.29,5.17
Xizang,,,,,,,,,,,,,,,,
Shanxi,82.69,74.26,70.30,65.97,62.49,59.19,50.01,51.60,41.34,28.43,18.76,32.77,18.26,14.01,10.84,6.67
Gansu,26.04,25.20,23.23,20.28,15.85,14.21,12.43,12.01,12.97,11.97,9.62,8.53,7.37,2.76,1.19,0.85
Qinghai,44.38,40.59,41.56,40.11,32.05,23.72,24.56,22.90,20.25,22.78,22.11,17.91,15.15,11.27,5.85,3.91
Ningxia,20.65,17.88,19.57,20.48,18.58,15.48,11.98,11.00,8.99,7.94,6.63,6.77,10.10,,,0.12
Xinjiang,145.84,169.87,127.41,101.95,95.02,80.15,67.93,69.84,69.81,65.04,56.46,54.01,40.55,34.57,34.64,23.44
