Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,1165.18,1736.54,2019.23,2270.00,2366.00,2634.62,2664.70,2747.73,2984.67,3055.67,3068.97,2939.41,2674.02,2531.00,2675.00,2719.78
Tianjin,4538.83,5027.28,5278.67,5298.00,5262.00,4806.79,4119.65,3972.77,3926.70,3809.31,3801.45,3508.57,3205.34,2929.00,2635.00,2472.71
Hebei,28943.13,29635.54,31663.27,31359.00,30792.00,27464.72,26515.81,24418.62,24548.51,21345.42,20542.39,17073.96,14851.40,13739.00,12641.00,12115.08
Shanxi,37115.10,37587.43,36636.51,34551.00,33479.00,29865.10,27761.93,28372.71,29203.48,28351.22,25681.40,22432.67,20501.93,18055.00,14856.00,14262.48
Neimenggu,36499.76,36465.97,34915.72,36620.00,34684.00,27004.04,24047.30,22241.84,18531.51,16188.88,13921.81,11391.44,9024.63,6864.00,6265.00,5907.99
Liaoning,17336.36,18002.27,18132.77,18219.00,18054.00,16908.43,16032.52,15346.66,15224.32,14211.31,13069.67,11944.98,10453.84,9355.00,9084.00,9582.18
Jilin,9805.31,10379.34,10413.74,11083.00,11035.00,9582.66,8588.91,8367.42,7846.56,7548.83,6802.48,5715.02,5202.06,4664.00,4484.00,4212.70
Heilongjiang,13432.85,13595.53,13266.81,13965.00,13200.00,12219.13,11050.13,11203.87,9852.64,9025.04,8559.73,7347.39,6490.46,5543.00,5537.00,5815.15
Shanghai,4728.13,4895.78,5681.19,5703.00,6142.00,5875.52,5305.17,5463.91,5259.53,5143.09,5324.52,5144.32,5017.50,4685.00,4610.00,4496.08
Jiangsu,27209.12,26912.61,27946.07,27762.00,27364.00,23100.48,21003.02,20736.71,19951.80,18427.68,16778.57,13272.08,10848.82,9663.00,8963.00,8769.80
Zhejiang,13826.07,13824.37,14161.26,14374.00,14776.00,13949.86,13276.16,13040.94,13024.12,11334.43,9680.80,8361.83,7266.69,6018.00,5527.00,5384.82
Anhui,15671.32,15786.98,15665.08,14704.00,14538.00,13375.70,12666.40,11377.10,9783.74,8830.52,8339.64,7823.06,7488.61,6679.00,6366.00,5909.39
Fujian,7659.94,8198.30,8078.64,8485.00,8714.00,7026.24,7109.25,6595.88,6117.15,5395.08,4857.13,3806.12,3271.96,2711.00,2205.00,2159.61
Jiangxi,7698.24,7477.31,7254.69,6802.00,6988.00,6246.24,5356.11,5267.45,5169.99,4592.26,4242.90,3943.91,3088.60,2557.00,2584.00,2468.63
Shandong,40926.94,39561.73,37683.44,40233.00,38921.00,37327.89,34795.17,34389.61,31702.78,29001.25,25247.91,18270.08,15165.68,12938.00,11098.00,8698.35
Henan,23719.94,24249.88,25058.14,25240.00,28374.00,26050.00,24445.42,23867.52,23171.00,21002.82,18467.89,14937.64,11419.97,10333.00,9325.00,8724.85
Hubei,11765.91,11887.83,12166.72,15799.00,15805.00,13470.06,11099.75,10196.08,10534.62,9651.64,8652.64,8053.71,7238.46,6483.00,6096.00,6050.62
Hunan,11142.26,10899.51,11223.84,12084.00,13006.00,11323.33,10751.41,10169.01,10277.39,9438.51,8739.29,6039.79,4984.25,4287.00,4100.00,3335.36
Guangdong,16587.32,17013.71,17106.78,17634.00,18439.00,15983.62,13647.26,13298.16,12593.97,11125.98,9942.37,8790.24,7910.25,6649.00,6088.00,5890.24
Guangxi,6046.71,6796.51,7344.11,7264.00,7033.00,6206.82,5199.11,4676.33,4772.14,4172.86,3733.99,3366.71,2621.46,2133.00,2228.00,2228.43
Hainan,1071.92,1018.30,1008.78,931.00,815.00,647.20,536.89,471.95,414.08,332.23,341.60,477.34,607.21,0.00,,191.63
Chongqing,6047.19,6095.78,5794.47,6750.00,7189.00,6396.90,5781.72,5272.73,4078.69,3734.60,3335.20,2904.38,2646.13,3053.00,2736.00,2942.05
Sichuan,9288.90,11045.39,11678.55,11872.00,11454.00,11520.40,12147.35,10727.41,9450.11,8532.71,7791.93,8188.68,7254.10,5462.00,4650.00,4861.98
Guizhou,12833.49,13117.60,13650.74,13328.00,12085.00,10908.10,10912.47,9732.18,10630.35,9938.99,8651.44,7993.74,6793.62,5199.00,4946.00,5146.30
Yunnan,7712.85,8674.67,9783.09,9850.00,9664.00,9349.40,8885.61,7915.69,7620.45,7482.00,6681.53,5688.54,4613.54,3352.00,3101.00,3062.04
Xizang,,,,,,,,,,,,,,,,
Shanxi,18373.61,18375.34,17247.95,15774.00,13318.00,11638.53,9496.50,8941.31,7893.75,7400.10,6049.12,4958.06,3960.65,3451.00,3133.00,2765.72
Gansu,6557.06,6715.87,6541.07,6558.00,6303.00,5389.57,4478.50,4682.87,4455.19,3959.09,3750.67,3479.32,3218.54,2798.00,2551.00,2480.38
Qinghai,1508.12,1816.51,2073.15,1859.00,1508.00,1270.68,1309.54,1316.45,1058.19,912.39,698.97,680.05,675.43,620.00,642.00,522.20
Ningxia,8907.37,8857.00,8533.51,8055.00,7947.00,5764.92,4780.86,4286.97,4135.00,3489.61,3248.93,2761.19,2965.10,0.00,,1041.89
Xinjiang,17359.28,16088.03,14205.50,12028.00,9745.00,8106.35,7417.71,5708.56,4943.69,4436.21,3859.91,3631.79,3184.06,2898.00,2734.00,2702.40
