Area,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年
Beijing,182.35,196.46,193.90,215.82,241.12,237.42,240.18,227.22,192.02,177.49,140.86,131.93,110.41,109.00,103.52,81.17
Tianjin,353.43,334.43,324.65,378.17,360.66,333.54,303.57,289.76,260.84,247.03,243.14,226.03,193.79,183.81,183.42,197.60
Hebei,749.18,788.80,800.57,821.36,796.12,691.94,521.67,531.73,532.74,484.39,438.68,210.52,173.82,169.52,168.08,181.28
Shanxi,517.22,497.55,516.02,498.08,488.64,474.38,506.67,472.75,272.21,266.79,246.42,190.53,141.05,127.33,110.77,80.67
Neimenggu,475.13,577.25,658.93,877.10,922.86,863.56,738.95,686.16,579.46,492.66,379.96,252.21,152.60,96.87,87.77,68.73
Liaoning,1109.26,1060.16,1021.71,1225.48,1104.53,963.90,810.45,778.42,693.71,587.76,534.40,321.68,267.70,273.24,279.75,197.22
Jilin,347.19,378.42,381.60,424.40,417.47,363.30,328.12,312.57,403.80,303.75,242.61,103.04,92.53,85.49,76.59,73.74
Heilongjiang,510.02,466.11,456.94,604.78,598.02,598.38,512.63,440.54,497.81,477.83,473.05,460.40,419.58,403.39,391.02,409.71
Shanghai,561.87,548.41,555.84,568.99,532.96,509.04,483.19,427.05,417.17,370.98,329.60,346.56,288.32,236.78,231.80,176.44
Jiangsu,819.38,814.06,752.28,803.54,759.40,727.96,655.87,646.21,607.99,587.17,515.12,508.11,413.94,379.28,355.95,345.02
Zhejiang,968.37,932.06,946.63,938.90,958.44,958.33,897.23,898.63,874.40,842.43,803.11,641.82,569.98,502.15,471.67,434.22
Anhui,611.80,663.02,626.32,578.31,416.69,365.75,329.14,309.63,259.16,239.90,210.07,189.48,173.71,155.89,147.77,142.12
Fujian,445.30,515.59,521.60,516.39,531.36,510.57,413.09,433.08,467.13,380.12,368.96,324.33,266.38,250.13,214.79,213.50
Jiangxi,537.51,526.52,526.48,416.65,392.54,368.75,293.17,288.47,295.27,313.59,302.07,199.49,251.60,163.87,130.84,104.78
Shandong,1335.26,1264.62,1262.92,1814.34,1664.29,1448.12,1334.11,1257.74,1286.94,1220.97,1132.31,582.30,521.01,248.72,332.65,343.87
Henan,835.30,800.47,777.59,738.19,663.34,561.22,526.18,543.45,460.51,346.01,329.47,274.83,168.68,156.27,157.87,155.02
Hubei,859.02,863.69,805.41,732.07,698.07,648.96,790.67,613.49,609.42,496.62,451.49,380.55,370.96,308.28,263.88,261.30
Hunan,686.59,599.17,566.32,501.62,561.72,502.98,432.38,375.51,395.04,342.08,282.05,242.91,184.89,182.36,124.10,140.18
Guangdong,1587.87,1575.28,1538.57,1542.53,1500.55,1668.56,1567.91,1518.92,1438.21,1367.60,1306.66,1023.69,935.87,848.12,816.33,766.23
Guangxi,573.34,506.17,430.89,519.46,476.91,442.37,413.61,355.54,374.26,333.91,327.99,286.66,217.73,214.48,147.44,147.44
Hainan,116.82,112.15,130.25,155.67,146.18,139.98,106.24,93.80,59.21,62.91,43.09,53.98,50.73,,48.24,46.20
Chongqing,491.21,425.53,455.95,409.91,397.70,338.51,273.55,257.65,234.11,186.55,180.18,169.57,73.15,68.91,64.31,61.44
Sichuan,814.78,748.57,754.04,643.40,576.52,525.10,538.46,473.94,394.23,354.61,287.43,269.71,226.98,196.43,194.86,161.61
Guizhou,453.96,380.34,378.70,336.03,304.97,264.66,234.69,226.46,183.50,169.73,139.04,108.40,104.41,89.23,82.85,57.81
Yunnan,582.87,569.13,559.81,650.89,609.84,562.04,437.70,411.95,382.15,331.66,283.90,238.69,207.45,179.35,114.45,55.46
Xizang,,,,,,,,,,,,,,,,
Shanxi,465.71,539.43,521.87,586.50,573.75,531.50,493.29,443.55,279.89,221.99,180.28,197.75,162.56,147.38,120.77,94.76
Gansu,335.60,374.80,375.35,258.03,222.68,210.64,185.62,168.61,113.94,117.61,114.98,105.90,82.33,71.17,100.80,91.82
Qinghai,114.53,113.73,110.77,106.16,102.37,89.89,87.11,78.38,48.35,27.03,24.85,23.93,22.63,18.64,18.59,19.29
Ningxia,122.75,123.38,117.91,111.32,104.04,105.82,98.57,96.51,86.70,78.14,63.04,68.94,53.04,,,11.22
Xinjiang,637.14,561.52,545.89,433.35,390.52,363.72,331.70,335.44,378.39,341.01,302.74,196.14,181.55,169.55,166.63,155.28
