Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,4.91,5.63,8.30,78.16,74.64,66.69,42.40,25.62,42.85,48.05,65.88,66.96,66.10,71.00,78.39,89.62
Tianjin,94.14,78.20,86.93,122.33,149.96,143.69,94.65,92.49,89.63,107.12,112.69,113.90,113.48,88.98,87.46,79.51
Hebei,51.73,31.97,35.18,24.53,47.29,38.53,59.76,65.82,48.31,54.33,60.78,55.56,62.68,61.08,55.37,49.39
Shanxi,0.61,2.24,0.99,1.20,12.60,12.25,12.06,12.09,14.39,10.10,8.95,10.25,10.66,9.07,12.62,12.42
Neimenggu,10.60,4.92,4.76,16.91,24.61,15.15,19.66,13.75,7.20,9.97,25.34,47.97,39.37,39.06,33.48,30.99
Liaoning,311.24,362.91,360.39,422.00,391.40,356.43,299.94,379.66,224.22,230.73,189.88,193.29,192.54,237.58,293.20,296.73
Jilin,30.89,31.91,32.82,34.11,37.81,39.96,38.44,39.84,39.92,40.09,53.13,38.45,28.95,32.03,41.53,50.96
Heilongjiang,114.69,115.42,94.15,99.53,88.92,88.90,88.18,69.86,47.19,44.34,39.89,47.68,63.32,76.77,88.74,135.38
Shanghai,540.23,556.15,603.14,640.15,675.04,744.28,742.79,788.73,848.61,805.79,765.95,657.95,616.07,519.71,492.61,494.20
Jiangsu,143.73,151.78,182.70,158.35,151.19,157.71,217.10,218.00,236.59,201.06,257.72,328.20,216.31,181.52,170.64,202.44
Zhejiang,326.26,339.38,328.49,328.67,370.29,330.48,289.53,219.86,227.29,240.95,303.66,292.31,261.60,192.42,193.19,182.52
Anhui,13.44,10.25,9.80,11.08,11.31,11.73,14.26,15.60,13.24,21.62,23.88,23.92,53.81,47.52,47.26,46.91
Fujian,174.86,189.36,182.94,186.30,189.66,182.75,165.83,142.32,124.94,173.48,161.62,81.64,94.59,74.77,49.87,53.23
Jiangxi,17.59,15.80,31.47,29.85,26.80,23.67,22.04,26.98,20.95,26.50,31.08,46.88,39.73,46.15,27.28,34.20
Shandong,3247.01,2472.46,2139.16,1695.20,1466.60,1286.77,404.87,355.43,367.24,304.11,294.43,279.16,241.19,270.54,271.37,344.25
Henan,70.66,49.30,33.89,13.16,41.83,18.34,25.93,46.08,62.78,70.37,78.46,77.25,78.36,70.24,65.87,57.55
Hubei,148.75,135.51,118.84,104.29,97.34,92.01,108.88,106.97,123.54,125.99,110.87,87.20,90.77,57.00,58.45,106.69
Hunan,92.80,67.73,68.31,61.23,68.98,75.22,68.39,41.41,40.20,42.04,43.09,36.81,42.79,43.55,45.62,46.38
Guangdong,403.47,418.80,435.06,434.91,505.28,646.93,894.99,1077.76,1316.44,1573.72,1600.05,1533.95,1241.65,1154.19,1039.50,941.95
Guangxi,24.10,31.22,44.83,49.72,50.45,34.64,7.38,9.92,20.85,24.07,32.96,29.63,20.85,13.13,7.67,7.67
Hainan,42.09,41.48,36.77,39.06,35.29,30.49,26.82,29.55,20.18,11.28,5.24,5.88,5.24,,9.99,9.39
Chongqing,13.90,14.75,11.98,9.89,9.37,8.61,7.59,8.14,7.84,2.66,3.61,4.32,2.99,3.24,4.10,2.68
Sichuan,135.68,125.72,87.90,75.21,70.45,62.82,13.34,12.60,7.17,9.50,8.08,8.11,11.13,12.42,11.74,13.32
Guizhou,0.42,0.12,0.51,4.68,16.04,14.43,13.47,23.16,34.35,12.01,10.39,10.34,9.94,7.67,7.46,7.51
Yunnan,2.51,3.82,3.24,2.61,2.59,5.62,5.16,5.20,5.04,4.72,3.91,7.54,5.69,8.53,8.68,11.17
Xizang,,,,,,,,,,,,,,,,
Shanxi,25.51,17.53,21.70,0.09,0.16,0.14,0.03,5.93,1.13,0.99,4.43,39.85,57.15,120.19,91.39,80.05
Gansu,4.97,7.05,4.29,9.25,9.42,14.63,13.39,12.73,14.33,14.05,16.03,15.48,19.95,30.39,50.12,58.00
Qinghai,0.03,0.04,0.12,0.17,0.10,0.12,0.16,0.13,0.18,0.06,0.02,2.20,3.90,4.20,4.86,6.93
Ningxia,50.83,30.19,39.51,20.62,36.66,39.76,0.52,1.98,0.53,0.98,1.80,3.98,12.00,,,33.13
Xinjiang,1.76,6.22,13.19,8.06,2.40,14.95,22.37,27.34,22.26,19.31,17.32,20.11,46.52,34.21,52.04,56.59
