Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,544.38,507.58,477.06,443.33,419.88,392.63,341.93,318.39,277.10,233.86,189.36,182.82,137.94,145.00,129.25,117.60
Tianjin,65.78,59.85,56.12,29.41,24.53,21.40,20.73,18.13,19.38,16.36,15.12,15.02,18.61,15.63,11.42,18.82
Hebei,8.24,17.59,17.59,7.79,8.94,7.34,6.25,7.37,6.22,5.88,3.21,3.11,2.71,2.83,3.00,3.23
Shanxi,26.51,20.93,20.49,18.00,15.18,14.64,16.28,14.67,11.90,10.43,8.45,8.11,5.20,6.66,6.34,6.36
Neimenggu,32.60,28.36,26.89,23.19,10.10,9.35,8.28,7.24,6.44,5.52,0.40,1.94,1.76,1.58,1.56,1.55
Liaoning,29.97,29.75,29.05,35.58,27.35,23.34,20.62,24.99,38.15,34.89,26.40,21.53,18.42,20.27,18.17,18.55
Jilin,1.90,1.71,1.71,0.81,1.25,1.21,1.15,1.18,7.47,6.73,15.85,10.29,4.07,3.89,3.62,3.28
Heilongjiang,68.46,73.98,63.97,65.94,26.47,24.06,0.31,0.51,3.85,10.25,7.28,8.94,7.06,10.61,7.91,8.74
Shanghai,511.45,450.72,437.48,402.74,400.50,399.07,353.11,321.47,295.45,261.97,223.32,168.15,103.44,103.62,59.57,55.71
Jiangsu,84.85,82.77,63.79,53.14,44.73,35.69,21.18,21.45,20.79,18.41,21.55,20.18,14.92,6.52,6.08,38.94
Zhejiang,113.52,103.76,92.15,80.07,74.75,70.42,62.90,54.91,49.48,46.47,40.98,10.55,10.40,9.37,9.92,11.25
Anhui,13.94,10.56,9.46,10.77,9.09,8.41,13.23,11.02,11.34,10.60,10.52,8.49,7.53,2.70,2.70,2.56
Fujian,111.81,97.33,85.41,74.36,64.39,56.50,50.96,51.95,49.09,36.99,32.77,26.22,25.54,5.30,7.96,7.60
Jiangxi,2.12,2.13,1.70,9.51,9.05,8.50,7.65,8.01,7.80,7.95,7.14,8.66,5.32,0.82,0.77,2.81
Shandong,98.50,4.57,4.50,77.08,39.66,38.61,35.41,30.73,32.02,23.88,21.99,21.74,14.23,41.97,49.53,48.25
Henan,68.16,50.50,46.07,53.39,49.64,30.64,25.63,16.50,17.03,16.03,13.91,12.63,12.74,13.28,13.16,14.34
Hubei,69.87,66.04,63.77,53.26,46.75,40.41,47.43,49.70,35.98,34.61,26.08,14.55,12.93,17.47,14.51,18.29
Hunan,51.76,41.38,38.84,35.22,32.03,30.25,30.44,25.41,24.50,20.83,12.48,11.58,8.91,8.74,4.93,8.08
Guangdong,275.02,268.83,260.31,243.57,216.93,202.38,192.12,183.07,171.14,157.40,153.72,130.97,119.64,103.15,95.98,89.51
Guangxi,56.36,90.32,23.83,0.08,0.28,2.73,0.09,16.05,0.27,,7.00,5.05,10.43,11.17,3.79,3.79
Hainan,85.69,84.59,85.74,82.83,90.15,87.43,90.03,80.16,64.67,65.92,62.50,54.26,52.20,,30.49,28.13
Chongqing,66.63,61.99,58.99,54.28,52.78,41.78,34.06,30.44,27.01,23.01,12.30,12.53,8.58,8.53,8.33,8.34
Sichuan,278.18,250.54,239.76,205.44,206.24,173.31,155.07,126.61,128.62,105.83,93.56,78.99,72.14,56.13,43.62,36.04
Guizhou,31.50,30.10,21.80,13.27,10.84,8.94,2.95,2.95,9.73,9.63,8.41,2.69,2.55,2.29,2.36,9.37
Yunnan,90.39,77.30,63.73,56.06,51.12,47.44,37.24,38.19,36.18,35.06,28.71,23.50,20.02,18.95,20.55,19.24
Xizang,,,,,,,,,,,,,,,,
Shanxi,34.48,36.26,32.27,10.11,9.67,8.94,8.48,15.65,1.78,34.80,34.81,48.46,36.01,28.03,18.48,19.49
Gansu,5.86,5.62,5.10,5.23,3.72,4.98,5.45,5.51,5.48,4.68,4.61,6.80,5.34,5.30,5.28,3.73
Qinghai,0.01,,,,0.19,0.17,0.16,0.40,2.02,0.00,0.01,,,,,0.06
Ningxia,0.02,0.03,0.12,7.32,6.58,5.16,4.23,3.72,2.79,2.25,2.01,4.13,,,,0.04
Xinjiang,27.98,22.57,22.93,45.34,37.32,33.33,31.40,38.15,33.28,30.88,26.12,18.20,15.61,16.61,23.73,21.31
