GDP,Agricultural GDP,Industrial GDP,Counstruction GDP,Communication and Transportation GDP,Government investment of waste gas treatment,Coal consuption,Coke consuption,Crude oil consumption,Gasoline consumption,Kerosene comsuption,Diesel consumption,Fuel oil consumption,Netural gas consumption,Electricity consumption,Number of cars,aqi
10.60091663,0.065684017,1.709295256,0.443049286,0.453187471,30.78489175,0.536701981,0.000202672,0.456720405,0.213150622,0.250750806,0.083993551,0.002261631,0.067655458,0.438839245,0.245882082,152
9.912095725,0.074962825,1.741064126,0.419451673,0.440566914,28.94098513,0.806942379,0.000297398,0.480771375,0.204749071,0.235864312,0.091291822,0.002616171,0.052834572,0.435432156,0.246668216,134
9.362085106,0.076515366,1.686255319,0.393167849,0.412179669,15.00330969,0.954718676,0.000373522,0.411782506,0.200288416,0.225560284,0.091678487,0.00392435,0.046718676,0.431725768,0.244496454,126
8.641565974,0.072595457,1.59222813,0.369719671,0.394543258,11.91493475,1.097148381,0.015596907,0.519946834,0.201014983,0.214272595,0.104311261,0.037776704,0.044499758,0.42257129,0.238550024,79
8.049494799,0.067493809,1.510049529,0.348533928,0.400668648,2.236255572,1.171867261,0.016483408,0.547340267,0.193060921,0.207964339,0.119425458,0.036968796,0.036433878,0.406988608,0.233051015,81
7.193465851,0.063384302,1.408761468,0.31824159,0.362900102,8.799184506,1.342823649,0.112359837,0.568955148,0.189362895,0.200117227,0.121009174,0.033990826,0.038119266,0.412793068,0.229215087,86
6.533887097,0.063596774,1.238215054,0.297026882,0.299268817,13.82688172,1.432634409,0.113962366,0.625231183,0.195489247,0.183833333,0.129129032,0.022795699,0.037311828,0.397392473,0.197908602,85
6.276115189,0.063709768,1.203698475,0.279311124,0.281716544,35.57199322,1.551513269,0.131490683,0.630581592,0.192501412,0.179779785,0.128300395,0.014466403,0.034246189,0.389452287,0.177120271,88
5.875184964,0.060417661,1.242696897,0.254558473,0.296867542,20.25417661,1.780829356,0.213717184,0.567368735,0.193747017,0.165334129,0.114570406,0.025566826,0.027828162,0.397977327,0.163102625,100
5.070443473,0.055465334,1.13795128,0.230836977,0.284328545,55.92379763,1.908600874,0.217751405,0.49726421,0.173741412,0.146071205,0.110861961,0.030012492,0.025390381,0.381992505,0.149356652,110
4.531547464,0.057659298,1.109908973,0.207717815,0.262236671,59.41677503,1.995429129,0.258387516,0.519895969,0.152945384,0.123120936,0.091586476,0.04283485,0.02083225,0.370962289,0.13636541,99
4.040997991,0.058513061,1.041346283,0.200167448,0.23896852,19.82183523,1.968794374,0.305244474,0.54209645,0.132880107,0.12245144,0.088365707,0.044849297,0.01809779,0.341667783,0.122183523,104
